caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,P3,P4,P7_5_4,P8_6,P9,P10,P11,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2,P5,P6,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8,P12,P15,P16,P17,P23,P26,P27,P28,P29,P30
1.0,No,Sí,39.0,36 a 45 años,NSE C1,C1,Masculino,San Juan de Lurigancho,Trabajador dependiente,Sí,,,Supermercado,Botica/Farmacia de mi barrio,4. Satisfecho,Que la marca sea prestigiosa,Que sea fácil de encontrar en distintos establecimientos,Que tenga un precio accesible,Que no dañe la piel,Que sea la que siempre compran en mi casa,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que el producto me genere confianza,Casa Grande,,,,8,,,,,,,,,,,Jemfarma,Casa Grande,Ninguno [NN,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,,No precisa,,,,No precisa,,,,,,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,,,No precisa,,,,No,Bicarbonato de sodio,Agua azahar,Agua oxigenada,Alcohol puro 96°,Vinagre Bully (Aromático),,,,Bicarbonato de sodio,Agua azahar,Agua oxigenada,Alcohol puro 96°,Vinagre Bully (Aromático),,Alkofarma,Jenfarma,Jenfarma,,,Casa Grande,,,,,,Laboratorio Gama,,100.0,120.0,500.0,,900.0,,,120.0,,1,1,1,,3,,,1,,7,1.0,1.29761447,1.11111111,"Spray,Botella,Con pulverizador","Spray,Con pulverizador",Desinfección de objetos y superficies,,,,Desinfección de objetos y superficies,,Botica/Farmacia de mi barrio,Porque es de una marca reconocida,Casa Grande,"Jemfarma,Casa Grande",Casa Grande,,,"Bicarbonato de sodio,Agua azahar,Agua oxigenada,Alcohol puro 96°,Vinagre Bully (Aromático)",Alcohol puro 96°,"Una vez cada 6 meses,Una vez al año,Una vez cada 2 o 3 meses,Una vez al año","Una vez al año,Una vez cada 6 meses,Una vez cada 6 meses,Una vez cada 15 días,Una vez cada 6 meses"
2.0,No,Sí,41.0,36 a 45 años,NSE C1,C1,Masculino,San Juan de Lurigancho,Trabajador dependiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que no dañe la piel,Que la marca sea prestigiosa,Que tenga un empaque práctico,Que el producto sea de calidad,Que esté en promoción/oferta,Que sea fácil de encontrar en distintos establecimientos,Que el producto me genere confianza,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Jemfarma,,10: Definitivamente lo recomendaría,,,,,8,,,,,,,,Sanakol,Jemfarma,Boreal,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,,Jemfarma,,,,Jemfarma,,,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,Jemfarma,,,,,,Jemfarma,,,,Sí,Bicarbonato de sodio,Alcohol puro 96°,,,,,,,Agua oxigenada,Alcohol puro 96°,,,,,,,Jenfarma,,,No precisa,,,,,,,,,,500.0,,1000.0,,,,,,,1,,1 botella,,,,,8,1.0,1.29761447,1.11111111,"Spray,Botella",Spray,,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de objetos y superficies,,,,Botica/Farmacia de cadena,"Porque desinfecta (mata gérmenes y bacterias),Porque me protege contra el COVID","Jemfarma,Alkofarma,Boreal","Jemfarma,Boreal,Hersil,Alkofarma","Jemfarma,Boreal",Porque no tenia buen aroma/su olor no es intenso,"Alcohol,Gel","Bicarbonato de sodio,Alcohol puro 96°",Alcohol puro 96°,"Una vez al mes,Una vez cada 2 o 3 meses","Una vez cada 15 días,Una vez al mes"
3.0,No,Sí,43.0,36 a 45 años,NSE C1,C1,Masculino,San Juan de Lurigancho,Trabajador dependiente,Sí,,,(no responde),(no responde),4. Satisfecho,Que el producto sea de calidad,Que no dañe la piel,Que tenga un precio accesible,Que se venda en puntos de venta de confianza,Que tenga un empaque práctico,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea la que siempre compran en mi casa,Purol,,,,,,,,,,8,,,,,Hersil,Purol,Ninguno [NN,Ninguno,,,,Ninguno,,,,No precisa,,,,No precisa,,,,No precisa,,,,,Ninguno,,,,No precisa,,,,,,No precisa,,,,Otras marcas,,,,Otras marcas,,,,No precisa,,,,,,No precisa,,,,No,Bicarbonato de sodio,Alcohol puro 96°,,,,,,,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,,,,Sin marca/A granel,,Sante,,,Sante,,,,,,,,150.0,,120.0,,1000.0,,,,,1/4 de kilo,,1,,1,,,,,9,1.0,1.29761447,1.11111111,Botella,Spray,,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de objetos y superficies,,Curar heridas,,"Botica/Farmacia de mi barrio,Mercado","Porque no me da inconvenientes,Porque puedo desinfectar objetos",Ninguna,"Erza,Purol",Purol,,,"Bicarbonato de sodio,Alcohol puro 96°",Alcohol puro 96°,"Una vez cada 2 o 3 meses,Una vez al año","Una vez al mes,Una vez cada 15 días"
4.0,No,Sí,51.0,46 a 55 años,NSE B2,B2,Masculino,Comas,Trabajador dependiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que el producto sea de calidad,Que tenga un precio accesible,Que no dañe la piel,Que tenga trayectoria,Que se venda en puntos de venta de confianza,Que esté en promoción/oferta,Que tenga todas las certificaciones de calidad,Hersil,,,,,,,,,,,,10: Definitivamente lo recomendaría,,,Ninguno,Hersil,Ninguno [NN,CKF,Boreal,Portugal,,CKF,Boreal,,,CKF,,,,Alkofarma,CKF,Boreal,,Alkofarma,CKF,Portugal,,,Jemfarma,CKF,Boreal,,Jemfarma,Boreal,Portugal,,,,Jemfarma,CKF,,,Jemfarma,CKF,,,Jemfarma,CKF,,,Jemfarma,CKF,,,,,Jemfarma,CKF,Boreal,,Sí,Alcohol puro 96°,Alcohol en gel,,,,,,,Alcohol en gel,,,,,,,,,,,,,,Biogel,,,,,,,,,,,1000.0,,,,,,,,,1,,,10,1.0,0.89314552,0.93333333,"Spray,Botella","Spray,Botella",Desinfección del cuerpo / personas que entran a la casa,,"Desinfección de manos,Desinfección de objetos y superficies",Curar heridas,,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,Farmacias dentro de supermercados","Porque desinfecta (mata gérmenes y bacterias),Porque no me da inconvenientes",Ninguna,Hersil,Hersil,,No precisa,"Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al año,Una vez cada 6 meses,Nunca","Una vez al mes,Una vez cada 15 días"
5.0,No,Sí,51.0,46 a 55 años,NSE C1,C1,Femenino,Lima,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,2. Insatisfecho,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que el producto sea de calidad,Que tenga todas las certificaciones de calidad,Que no dañe la piel,Que la marca sea prestigiosa,Que tenga un empaque práctico,Que tenga trayectoria,Que se venda en puntos de venta de confianza,No precisa,,,,,,,,,,,,,,9,,Ninguno,Ninguno [NN,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,No precisa,,,,,No precisa,,,,Cualquiera,,,,,,No precisa,,,,No precisa,,,,No precisa,,,,Cualquiera,,,,,,Cualquiera,,,,No,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,,,,,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,,,Sin marca/A granel,,Sante,,,Sante,,,Clean & Fresh,,,,,250.0,,500.0,,1000.0,,350.0,,,1,,1,,1,,1,,,11,1.0,1.18347052,1.23076923,"Spray,Botella",Spray,,Desinfección de manos,Desinfección de objetos y superficies,,,,Botica/Farmacia de mi barrio,Porque no irrita la piel,Ninguna,Ninguno [NN,No precisa [NN,,,"Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol en gel",Alcohol puro 96°,"Una vez al año,Una vez al año,Nunca","Una vez cada 2 o 3 meses,Una vez al año,Una vez al mes,Una vez cada 2 o 3 meses"
6.0,No,Sí,33.0,25 a 35 años,NSE C2,C2,Femenino,Comas,Su casa,Sí,,,Vendedor independiente amigo/conocido,Vendedor independiente amigo/conocido,4. Satisfecho,Que tenga todas las certificaciones de calidad,Que el producto sea de calidad,Que el producto me genere confianza,Que la marca sea prestigiosa,Que esté en promoción/oferta,Que tenga un precio accesible,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Casa Grande,,,,10: Definitivamente lo recomendaría,,,,,,,,,,,Experto,Casa Grande,Ninguno [NN,Cualquiera,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,,Otras marcas,,,,Otras marcas,,,,,,Ninguno,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,,,Otras marcas,,,,No,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,,,,,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,Alkofarma,,,,,Casa Grande,,,Aval,,,,,100.0,,,,900.0,,380.0,,,2,,,,3,,1,,,12,1.0,1.09246215,1.03703704,"Dispensador,Spray,Botella,Con pulverizador","Dispensador,Spray","Desinfección de manos,Desinfección de objetos y superficies",Desinfección de manos,Desinfección de objetos y superficies,Desinfección del cuerpo / personas que entran a la casa,Desinfección de objetos y superficies,,"Bodega,Vendedor independiente amigo/conocido","Porque tiene buen aroma / se siente el alcohol,Porque puedo desinfectar superficies",Casa Grande,Casa Grande,Casa Grande,,,"Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al año,Una vez al año,Con menor frecuencia,Nunca","Una vez cada 6 meses,Una vez cada 2 o 3 meses,Una vez al mes,Una vez cada 15 días"
7.0,No,Sí,50.0,25 a 35 años,NSE D,D,Masculino,Villa María del Triunfo,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que no dañe la piel,Que la marca sea prestigiosa,Que el producto me genere confianza,Que el producto sea de calidad,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que tenga un precio accesible,Que tenga trayectoria,Inkafarma,,,,,,,,,,,,,,10: Definitivamente lo recomendaría,Portugal,Inkafarma,Ninguno [NN,Ninguno,,,,Portugal,,,,Portugal,,,,Ninguno,,,,Ninguno,,,,,Portugal,,,,Ninguno,,,,,,Ninguno,,,,Portugal,,,,Portugal,,,,Portugal,,,,,,Portugal,,,,No,Alcohol puro 96°,,,,,,,,Alcohol puro 96°,,,,,,,,,,,Inkafarma,,,,,,,,,,,,1000.0,,,,,,,,,1,,,,,14,1.0,0.77236257,0.85,Botella,Botella,,,"Desinfección de manos,Curar heridas",,,,Botica/Farmacia de cadena,"Porque es puro,Porque es de calidad",Inkafarma,"Portugal,Inkafarma",Inkafarma,,,Alcohol puro 96°,Alcohol puro 96°,,Una vez cada 15 días
8.0,No,Sí,24.0,18 a 24 años,NSE B2,B2,Masculino,Los Olivos,Trabajador independiente,Sí,,,(no responde),Botica/Farmacia de mi barrio,4. Satisfecho,Que no dañe la piel,Que tenga un precio accesible,Que tenga todas las certificaciones de calidad,Que el producto sea de calidad,Que tenga un empaque práctico,Que la marca sea prestigiosa,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea fácil de encontrar en distintos establecimientos,Alkofarma,6,,,,,,,,,,,,,,Coderal,Alkofarma,Ninguno [NN,Alkofarma,Boreal,,,No precisa,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Otras marcas,,,,Alkofarma,Boreal,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,No precisa,,,,Sí,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,,,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,Farmali,,,,,Alkofarma,,,Aval,,,,,100.0,,,,500.0,,250.0,,,1,,,,3,,1,,,15,1.0,0.89314552,0.93333333,"Dispensador,Spray,Botella",Spray,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de manos,Curar heridas,,,,"Botica/Farmacia de mi barrio,Supermercado,Mercado","Porque no irrita la piel,Porque puedo desinfectar superficies",Alkofarma,"Alkofarma,Boreal",Alkofarma,,"Alcohol,Jabón,Cremas","Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel","Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses","Una vez al mes,Una vez al mes"
9.0,No,Sí,22.0,18 a 24 años,NSE D,D,Masculino,Comas,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que tenga un empaque práctico,Que no dañe la piel,Que se venda en puntos de venta de confianza,Que el producto sea de calidad,Que esté en promoción/oferta,Que tenga trayectoria,Que sea la que siempre compran en mi casa,Que tenga un precio accesible,Alkofarma,8,,,,,,,,,,,,,,Ninguno,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,,,Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel,,,,Inglesa,,,,,Alkofarma,,,Cell Skin,,,,,500.0,,,,1000.0,,310.0,,,1,,,,1,,1,,,16,1.0,0.84059992,0.86363636,"Dispensador,Spray,Botella,Con chupón,Con pulverizador",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",,Botica/Farmacia de mi barrio,"Porque desinfecta (mata gérmenes y bacterias),Porque tiene buen aroma / se siente el alcohol",Alkofarma,Alkofarma,Alkofarma,,Alcohol,"Bicarbonato de sodio,Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez cada 2 o 3 meses,Nunca","2. Una vez a la semana,2. Una vez a la semana,Una vez al mes"
10.0,No,Sí,33.0,25 a 35 años,NSE C1,C1,Femenino,Puente Piedra,Su casa,Sí,,,Botica/Farmacia de mi barrio,Farmacias dentro de supermercados,4. Satisfecho,Que el producto sea de calidad,Que tenga todas las certificaciones de calidad,Que se venda en puntos de venta de confianza,Que la marca sea prestigiosa,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que esté en promoción/oferta,Que tenga trayectoria,Que tenga un empaque práctico,Alkofarma,9,,,,,,,,,,,,,,Casa Grande,Alkofarma,Ninguno [NN,Alkofarma,Boreal,,,Alkofarma,,,,Alkofarma,Boreal,,,Alkofarma,,,,Portugal,,,,,Boreal,Portugal,,,Boreal,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,,,Alkofarma,,,,Sí,Alcohol puro 96°,Alcohol en gel,,,,,,,Alcohol puro 96°,Alcohol en gel,,,,,,,,,,Alkofarma,,,Aro,,,,,,,,,1000.0,,1000.0,,,,,,,1,,1,,,17,1.0,1.09246215,1.03703704,"Dispensador,Spray,Botella,Con pulverizador","Dispensador,Spray,Botella,Con pulverizador",Desinfección de manos,Desinfección de objetos y superficies,Curar heridas,,Desinfección de objetos y superficies,,"Botica/Farmacia de mi barrio,Farmacias dentro de supermercados",Porque no me genera alergia,Alkofarma,"Alkofarma,Casa Grande,Boreal",Alkofarma,,Alcohol,"Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al año,Una vez al mes","Una vez al mes,Una vez al mes"
